Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,general_support,Thanks for contacting support. We are happy to help.,Workspace access restoration without admin authority — escalate. | Default mock response.,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,assessment,Your assessment issue has been escalated for manual review.,Score dispute or grading override request — not safely handled from docs alone. | Detected assessment-related issue.,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,billing,Your billing issue has been escalated for review.,Merchant dispute or forced remediation — requires issuer/human handling. | Detected billing-related issue.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,outage,We detected a possible service disruption and escalated your case.,Detected outage-related issue.,bug
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing,Your billing issue has been escalated for review.,Specific billing/payment dispute identifiers — escalate. | Detected billing-related issue.,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,general_support,Thanks for contacting support. We are happy to help.,Default mock response.,product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,escalated,outage,We detected a possible service disruption and escalated your case.,Detected outage-related issue.,bug
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,assessment,Your assessment issue has been escalated for manual review.,Broad outage or platform-wide failure signal — escalate. | Detected assessment-related issue.,product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,escalated,assessment,Your assessment issue has been escalated for manual review.,Detected assessment-related issue.,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,assessment,Your assessment issue has been escalated for manual review.,Detected assessment-related issue.,product_issue
